qmof_id,name,info.formula,info.formula_reduced,info.mofid.mofid,info.mofid.mofkey,info.mofid.smiles_nodes,info.mofid.smiles_linkers,info.mofid.smiles,info.mofid.topology,info.natoms,info.pld,info.lcd,info.density,info.volume,info.symmetry.spacegroup,info.symmetry.spacegroup_number,info.symmetry.spacegroup_crystal,info.symmetry.pointgroup,info.synthesized,info.source,info.doi,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.net_magmom,outputs.pbe.bandgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.directgap,outputs.pbe.bandgap_spins,outputs.pbe.cbm_spins,outputs.pbe.vbm_spins,outputs.pbe.directgap_spins,inputs.hle17.theory,inputs.hle17.pseudopotentials,inputs.hle17.encut,inputs.hle17.kpoints,inputs.hle17.gamma,inputs.hle17.spin,inputs.hse06_10hf.theory,inputs.hse06_10hf.pseudopotentials,inputs.hse06_10hf.encut,inputs.hse06_10hf.kpoints,inputs.hse06_10hf.gamma,inputs.hse06_10hf.spin,inputs.hse06.theory,inputs.hse06.pseudopotentials,inputs.hse06.encut,inputs.hse06.kpoints,inputs.hse06.gamma,inputs.hse06.spin,outputs.hle17.energy_total,outputs.hle17.energy_vdw,outputs.hle17.energy_elec,outputs.hle17.net_magmom,outputs.hle17.bandgap,outputs.hle17.cbm,outputs.hle17.vbm,outputs.hle17.directgap,outputs.hle17.bandgap_spins,outputs.hle17.cbm_spins,outputs.hle17.vbm_spins,outputs.hle17.directgap_spins,outputs.hse06_10hf.energy_total,outputs.hse06_10hf.energy_vdw,outputs.hse06_10hf.energy_elec,outputs.hse06_10hf.net_magmom,outputs.hse06_10hf.bandgap,outputs.hse06_10hf.cbm,outputs.hse06_10hf.vbm,outputs.hse06_10hf.directgap,outputs.hse06_10hf.bandgap_spins,outputs.hse06_10hf.cbm_spins,outputs.hse06_10hf.vbm_spins,outputs.hse06_10hf.directgap_spins,outputs.hse06.energy_total,outputs.hse06.energy_vdw,outputs.hse06.energy_elec,outputs.hse06.net_magmom,outputs.hse06.bandgap,outputs.hse06.cbm,outputs.hse06.vbm,outputs.hse06.directgap,outputs.hse06.bandgap_spins,outputs.hse06.cbm_spins,outputs.hse06.vbm_spins,outputs.hse06.directgap_spins
qmof-7a7e541,ACAJOF_FSR,Cu8C92H104N8O32,Cu2C23H26N2O8,C(Cc1ccncc1)Cc1ccncc1.[Cu][Cu].[O-]C(=O)CCCC(=O)[O-] MOFid-v1.rob.cat0,Cu.JFCQEDHGNNZCLN.OGNCVVRIKNGJHQ.MOFkey-v1.rob,['[Cu][Cu]'],"['C(Cc1ccncc1)Cc1ccncc1', '[O-]C(=O)CCCC(=O)[O-]']",C(Cc1ccncc1)Cc1ccncc1.[Cu][Cu].[O-]C(=O)CCCC(=O)[O-],rob,244,5.71608,6.31984,1.2470793457951186,3118.755411414031,Pccn,56,orthorhombic,mmm,True,CSD,https://doi.org/10.1039/c2dt31427d,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,True,-1545.09274774,-16.27973,-1528.81301774,0.0,0.39239500000000005,-0.220421,-0.612816,False,"[0.392397, 0.39253499999999997]","[-0.220419, -0.220421]","[-0.612816, -0.612956]","[False, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-850a307,ACATAB_FSR,Ag8C112H104N16O16,AgC14H13N2O2,[Ag][Ag].[O-]C(=O)C1CCC(CC1)C(=O)[O-].n1ccc(cc1)c1ccncc1 MOFid-v1.pcu.cat0,Ag.MWVTWFVJZLCBMC.PXGZQGDTEZPERC.MOFkey-v1.pcu,['[Ag][Ag]'],"['[O-]C(=O)C1CCC(CC1)C(=O)[O-]', 'n1ccc(cc1)c1ccncc1']",[Ag][Ag].[O-]C(=O)C1CCC(CC1)C(=O)[O-].n1ccc(cc1)c1ccncc1,pcu,256,5.21694,6.05802,1.301912070723294,3562.450622605125,P2_1/c,14,monoclinic,2/m,True,CSD,https://doi.org/10.1039/c2dt31847d,PBE-D3BJ,"['Ag 02Apr2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-1666.76496773,-18.79823,-1647.96673773,0.0,0.623449,0.46106,-0.162389,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-ea15ac0,ACODAA_FSR,Fe2C12H8N8,FeC6H4N4,N1=NC=C([CH]1)C1=CN=N[CH]1.[Fe] MOFid-v1.pts.cat0,Fe.JLWIIUHQFSVWIJ.MOFkey-v1.pts,['[Fe]'],['N1=NC=C([CH]1)C1=CN=N[CH]1'],N1=NC=C([CH]1)C1=CN=N[CH]1.[Fe],pts,30,5.89895,6.40381,1.0694124706967334,583.7369907196579,P4_2/mmc,131,tetragonal,4/mmm,True,CSD,https://doi.org/10.1021/acs.inorgchem.7b01818,PBE-D3BJ,"['Fe 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002']",520,"[3, 2, 2]",True,True,-219.78817039,-1.99273,-217.79544039,8.0,0.041971000000000036,-0.487891,-0.529862,False,"[3.507673, 0.041971000000000036]","[1.923005, -0.487891]","[-1.584668, -0.529862]","[False, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-51eaa24,ACOLUB_FSR,Cd6C128H100N8O38,Cd3C64H50N4O19,,Cd.JWPDUQLIPMJLOF.WGELLMPRCOEWEP.MOFkey-v1.sql,['[Cd]'],"['[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]', 'c1ncn(c1)c1ccc(cc1)n1cncc1']",[Cd].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].c1ncn(c1)c1ccc(cc1)n1cncc1,sql,280,4.88899,7.29246,1.0809216800133823,4658.849168302774,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1039/c2jm35273g,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-1868.26366564,-17.05739,-1851.20627564,0.0,3.1501910000000004,0.764867,-2.385324,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3133aaf,ADETEL_FSR,Zn4C64H48N8O16,ZnC16H12N2O4,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.sql.cat0,Zn.KKEYFWRCBNTPAC.MOFkey-v1.sql,['[Zn][Zn]'],['[O-]C(=O)c1ccc(cc1)C(=O)[O-]'],[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn],sql,140,4.94307,5.86275,0.9692484657895686,2478.598836519317,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1080/00958972.2016.1172070,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-950.84291586,-8.08731,-942.75560586,0.0,2.9317520000000004,0.541231,-2.390521,True,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,-6367.86626913,0.0,-6367.86626913,0.0,3.6450279999999995,-0.968144,-4.613172,True,"[None, None]","[None, None]","[None, None]","[None, None]",-1014.93765319,-6.72631,-1008.21134319,0.0,3.6319990000000004,0.715114,-2.916885,True,"[None, None]","[None, None]","[None, None]","[None, None]",-1114.25612583,-6.72631,-1107.52981583,0.0,4.523716,0.953131,-3.570585,True,"[None, None]","[None, None]","[None, None]","[None, None]"
qmof-9eeead2,ADODII_FSR,La2C52H40O19,La2C52H40O19,,,['[La]'],['[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]'],[La].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],,113,5.2513,5.93855,1.2054933089753819,1717.2638794868612,C2,5,monoclinic,2,True,CSD,https://doi.org/10.1039/c2cc35432b,PBE-D3BJ,"['La 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-774.40218002,-6.9232,-767.47898002,0.0,3.449792,1.509565,-1.940227,False,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['La 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['La 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['La 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,-6361.56888191,0.0,-6361.56888191,0.0,2.1611770000000003,-1.603079,-3.764256,False,"[None, None]","[None, None]","[None, None]","[None, None]",-827.09600271,-6.10876,-820.98724271,0.0,3.9069779999999996,1.691629,-2.215349,False,"[None, None]","[None, None]","[None, None]","[None, None]",-908.24723159,-6.10876,-902.13847159,0.0,4.5915289999999995,1.959258,-2.632271,False,"[None, None]","[None, None]","[None, None]","[None, None]"
qmof-bc3f92f,ADODOO_FSR,Eu2C52H40O19,Eu2C52H40O19,,,['[Eu]'],['[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]'],[Eu].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-],,113,5.18549,5.8401,1.2896847267022933,1638.7869617604083,C2,5,monoclinic,2,True,CSD,https://doi.org/10.1039/c2cc35432b,PBE-D3BJ,"['C 08Apr2002', 'Eu_3 20Oct2008', 'H 15Jun2001', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-773.6304744,-7.06069,-766.5697844,0.0,3.445564,1.467136,-1.978428,False,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['C 08Apr2002', 'Eu_3 20Oct2008', 'H 15Jun2001', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['C 08Apr2002', 'Eu_3 20Oct2008', 'H 15Jun2001', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['C 08Apr2002', 'Eu_3 20Oct2008', 'H 15Jun2001', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,-6860.51174426,0.0,-6860.51174426,0.0,3.690197,-0.12767,-3.817867,True,"[None, None]","[None, None]","[None, None]","[None, None]",-826.5038503,-6.18231,-820.3215402999999,0.0,3.897794,1.639079,-2.258715,True,"[None, None]","[None, None]","[None, None]","[None, None]",-907.94018862,-6.18231,-901.7578786199999,0.0,4.577891,1.896214,-2.681677,False,"[None, None]","[None, None]","[None, None]","[None, None]"
qmof-b8ef732,ADODUU_FSR,Tb2C52H40O19,Tb2C52H40O19,,,['[Tb]'],['[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]'],[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].[Tb],,113,5.16433,5.80654,1.3172288722074288,1622.0702015005193,C2,5,monoclinic,2,True,CSD,https://doi.org/10.1039/c2cc35432b,PBE-D3BJ,"['Tb_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-773.66894398,-7.12447,-766.54447398,0.0,3.448867,1.511861,-1.937006,False,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Tb_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Tb_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['Tb_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,-7041.38689236,0.0,-7041.38689236,0.0,3.692278,-0.089947,-3.782225,True,"[None, None]","[None, None]","[None, None]","[None, None]",-826.57353942,-6.24082,-820.33271942,0.0,3.900728,1.682876,-2.217852,True,"[None, None]","[None, None]","[None, None]","[None, None]",-908.06605763,-6.24082,-901.8252376300001,0.0,4.586805,1.945188,-2.641617,True,"[None, None]","[None, None]","[None, None]","[None, None]"
qmof-d55908c,ADULIX_FSR,Cu20Pr8C168H128I16N28O64,Cu5Pr2C42H32I4N7O16,,,"['[Cu][Cu]1(I)(I)[Cu][Cu]1([Cu])(I)I', '[OH2][Pr]']",['[O-]C(=O)c1ccncc1'],[Cu][Cu]1(I)(I)[Cu][Cu]1([Cu])(I)I.[O-]C(=O)c1ccncc1.[OH2][Pr],,432,4.83498,5.56453,2.2497469714116494,5898.614589200934,P2_12_12_1,19,orthorhombic,222,True,CSD,https://doi.org/10.1039/C7CE01580A,PBE-D3BJ,"['Pr_3 07Sep2000', 'Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-2894.39010481,-40.64904,-2853.7410648100004,0.0,1.24542,2.07958,0.83416,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-961be1d,AFITIT_FSR,Zn6C138H96N6O24,ZnC23H16NO4,Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-].[Zn][Zn].n1ccc(cc1)c1ccncc1 MOFid-v1.pcu.cat2,Zn.MWVTWFVJZLCBMC.VLWQGEBWTFWSHY.MOFkey-v1.pcu,['[Zn][Zn]'],"['Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-]', 'n1ccc(cc1)c1ccncc1']",Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-].[Zn][Zn].n1ccc(cc1)c1ccncc1,pcu,270,5.32657,7.33844,1.010779184856586,4295.54002984664,C2,5,monoclinic,2,True,CSD,https://doi.org/10.1039/b714160b,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-1837.14553754,-17.68872,-1819.45681754,0.0,1.933385,-0.106116,-2.039501,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-de9ead6,AFOTUL_FSR,Sm2C44H28O16,SmC22H14O8,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Sm] MOFid-v1.tsy.cat0,Sm.NEQFBGHQPUXOFH.MOFkey-v1.tsy,['[Sm]'],['[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]'],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Sm],tsy,90,4.81132,6.34202,1.173309896041374,1575.755943155157,C2,5,monoclinic,2,True,CSD,https://doi.org/10.1039/b803168a,PBE-D3BJ,"['Sm_3 07Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-638.63852245,-5.8448,-632.79372245,0.0,2.83269,0.33751,-2.49518,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-30a8228,AFOVAT_FSR,La2C44H28O16,LaC22H14O8,[La].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.tsy.cat0,La.NEQFBGHQPUXOFH.MOFkey-v1.tsy,['[La]'],['[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]'],[La].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],tsy,90,4.6256,6.27345,1.1547562882532016,1568.130584056034,C2,5,monoclinic,2,True,CSD,https://doi.org/10.1039/b803168a,PBE-D3BJ,"['La 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-639.53952426,-5.84437,-633.69515426,0.0,2.875067,0.578792,-2.296275,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-456d03e,AFOVEX_FSR,Ce2C44H28O16,CeC22H14O8,[Ce].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.tsy.cat0,Ce.NEQFBGHQPUXOFH.MOFkey-v1.tsy,['[Ce]'],['[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]'],[Ce].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],tsy,90,4.7818,6.37312,1.1417642368546246,1589.4953256313343,C2,5,monoclinic,2,True,CSD,https://doi.org/10.1039/b803168a,PBE-D3BJ,"['Ce 23Dec2003', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,True,-640.41877311,-5.8755,-634.54327311,2.0,0.027823999999999988,0.188331,0.160507,True,"[0.027823999999999988, 2.739386]","[0.188331, 0.375354]","[0.160507, -2.364032]","[True, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-9897045,AFOVOH_FSR,Nd2C44H28O16,NdC22H14O8,[Nd].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.tsy.cat0,Nd.NEQFBGHQPUXOFH.MOFkey-v1.tsy,['[Nd]'],['[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]'],[Nd].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],tsy,90,4.64008,6.50615,1.1580150215450606,1579.0224235531516,C2,5,monoclinic,2,True,CSD,https://doi.org/10.1039/b803168a,PBE-D3BJ,"['Nd_3 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-638.64958191,-5.80854,-632.8410419100001,0.0,2.81996,0.347995,-2.471965,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f5afc17,AFUKAP_FSR,Mn6C128H100N8O38,Mn3C64H50N4O19,,Mn.JWPDUQLIPMJLOF.WGELLMPRCOEWEP.MOFkey-v1.sql,['[Mn]'],"['[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]', 'c1ncn(c1)c1ccc(cc1)n1cncc1']",[Mn].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].c1ncn(c1)c1ccc(cc1)n1cncc1,sql,280,4.72285,7.29323,0.9688429620813988,4606.767786225746,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1039/C3CE41406J,PBE-D3BJ,"['Mn_pv 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,True,-1920.56275506,-17.14789,-1903.41486506,30.0,1.36554,0.874689,-0.490851,True,"[1.42626, 3.18976]","[0.935409, 0.874689]","[-0.490851, -2.315071]","[True, True]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-2011a0f,AGEDIC_FSR,Ga2C8H6O10,GaC4H3O5,[Ga].[O-]C(=O)C=CC(=O)[O-].[OH] MOFid-v1.rna.cat0,Ga.VZCYOOQTPOCHFL.MOFkey-v1.rna,"['[Ga]', '[OH]']",['[O-]C(=O)C=CC(=O)[O-]'],[Ga].[O-]C(=O)C=CC(=O)[O-].[OH],rna,26,5.22505,5.71861,1.3048116445054572,511.0531132436937,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1021/acsami.8b08562,PBE-D3BJ,"['Ga_d 06Jul2010', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[4, 3, 3]",True,False,-173.81256938,-1.47846,-172.33410938,0.0,3.072673,-0.238348,-3.311021,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-311e4d4,AKAXOA_FSR,Cu8C96H60I8N12O24,Cu2C24H15I2N3O6,O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1.[Cu][Cu](I)I MOFid-v1.hcb.cat1,Cu.DGRPQJPARZFUQW.MOFkey-v1.hcb,['[Cu][Cu](I)I'],['O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1'],O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1.[Cu][Cu](I)I,hcb,208,9.67455,10.04578,1.3389423668736216,4079.1904089591835,P2,3,monoclinic,2,True,CSD,https://doi.org/10.1002/asia.201000218,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-1403.31401542,-16.63027,-1386.68374542,0.0,0.713043,-0.005005,-0.718048,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0d43f7f,AKAYER_FSR,Cu4C48H30I4N6O12,Cu2C24H15I2N3O6,,,['[Cu][Cu](I)I'],['O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1'],O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1.[Cu][Cu](I)I,,104,9.38971,9.67929,1.3360273307149857,2044.0453333305159,C2,5,monoclinic,2,True,CSD,https://doi.org/10.1002/asia.201000218,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-701.65628091,-8.29997,-693.3563109099999,0.0,0.695158,-0.012454,-0.707612,False,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,-9851.964532,0.0,-9851.964532,0.0,0.9086520000000002,-1.676273,-2.584925,False,"[None, None]","[None, None]","[None, None]","[None, None]",-749.19377044,-7.61545,-741.57832044,0.0,1.083418,0.1002,-0.983218,False,"[None, None]","[None, None]","[None, None]","[None, None]",-822.60970259,-7.61545,-814.99425259,0.0,1.7667480000000002,0.302612,-1.464136,False,"[None, None]","[None, None]","[None, None]","[None, None]"
qmof-6585ef5,AKAYIV_FSR,Cu8Br8C192H120N24O48,CuBrC24H15N3O6,O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1.[Cu]Br MOFid-v1.ths.cat1,Cu.DGRPQJPARZFUQW.MOFkey-v1.ths,['[Cu]Br'],['O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1'],O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1.[Cu]Br,ths,400,9.06317,9.3347,1.1426565808987172,6799.268786359423,P2/c,13,monoclinic,2/m,True,CSD,https://doi.org/10.1002/asia.201000218,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'Br 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-2760.39044621,-29.77405,-2730.61639621,0.0,0.943654,0.06309,-0.880564,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
